

Results from heasarc_bsc5p: Bright Star Catalog
Coordinate system:  Equatorial
|name   |alt_name  |ra         |dec        |vmag |
|HR 6832|Eta Sgr   |18 17 37.61|-36 45 42.1| 3.11|
|HR 4232|Nu  Hya   |10 49 37.49|-16 11 37.0| 3.11|
|HR 3547|16Zet Hya |08 55 23.59|+05 56 44.2| 3.11|
|HR 2040|Bet Col   |05 50 57.60|-35 46 05.9| 3.12|
|HR 5576|Kap Cen   |14 59 09.70|-42 06 15.1| 3.13|
|HR 3705|40Alp Lyn |09 21 03.29|+34 23 33.0| 3.13|
|HR 4467|Lam Cen   |11 35 46.80|-63 01 10.9| 3.13|
|HR 3803|          |09 31 13.30|-57 02 03.8| 3.13|
|HR 6285|Zet Ara   |16 58 37.20|-55 59 25.1| 3.13|
|HR 6410|65Del Her |17 15 01.90|+24 50 21.1| 3.14|
|HR 3569|9Iot UMa  |08 59 12.41|+48 02 30.1| 3.14|
|HR 6418|67Pi  Her |17 15 02.81|+36 48 33.1| 3.16|
|HR 2451|Nu  Pup   |06 37 45.70|-43 11 46.0| 3.17|
|HR 7039|27Phi Sgr |18 45 39.41|-26 59 26.9| 3.17|
|HR 1641|10Eta Aur |05 06 30.91|+41 14 03.8| 3.17|
|HR 3775|25The UMa |09 32 51.41|+51 40 37.9| 3.17|
|HR 6396|22Zet Dra |17 08 47.21|+65 42 52.9| 3.17|
|HR 1654|2Eps Lep  |05 05 27.70|-22 22 16.0| 3.19|
|HR 5463|Alp Cir   |14 42 30.41|-64 58 31.1| 3.19|
|HR 1543|1Pi 3Ori  |04 49 50.40|+06 57 41.0| 3.19|
|HR 6299|27Kap Oph |16 57 40.10|+09 22 30.0| 3.20|
|HR 8115|64Zet Cyg |21 12 56.21|+30 13 36.8| 3.20|
|HR 6630|          |17 49 51.50|-37 02 35.9| 3.21|
|HR 8974|35Gam Cep |23 39 20.81|+77 37 57.0| 3.21|
|HR 5695|Del Lup   |15 21 22.30|-40 38 51.0| 3.22|
|HR 7710|65The Aql |20 11 18.31|-00 49 17.0| 3.23|
|HR 8238|8Bet Cep  |21 28 39.60|+70 33 38.9| 3.23|
|HR 897 |The1Eri   |02 58 15.70|-40 18 16.9| 3.24|
|HR 7178|14Gam Lyr |18 58 56.59|+32 41 21.8| 3.24|
|HR 1208|Gam Hyi   |03 47 14.30|-74 14 20.0| 3.24|
|HR 6075|2Eps Oph  |16 18 19.30|-04 41 33.0| 3.24|
|HR 2878|Sig Pup   |07 29 13.80|-43 18 05.0| 3.25|
|HR 6869|58Eta Ser |18 21 18.60|-02 53 56.0| 3.26|
|HR 165 |31Del And |00 39 19.70|+30 51 38.9| 3.27|
|HR 5287|49Pi  Hya |14 06 22.30|-26 40 57.0| 3.27|
|HR 6453|42The Oph |17 22 00.60|-24 59 57.8| 3.27|
|HR 8709|76Del Aqr |22 54 39.00|-15 49 14.9| 3.27|
|HR 2550|Alp Pic   |06 48 11.40|-61 56 29.0| 3.27|
|HR 1465|Alp Dor   |04 33 59.81|-55 02 42.0| 3.27|
|HR 2216|7Eta Gem  |06 14 52.61|+22 30 24.1| 3.28|
|HR 5603|20Sig Lib |15 04 04.20|-25 16 54.8| 3.29|
|HR 5744|12Iot Dra |15 24 55.80|+58 57 58.0| 3.29|
|HR 322 |Bet Phe   |01 06 04.99|-46 43 07.0| 3.31|
|HR 1702|5Mu  Lep  |05 12 55.90|-16 12 20.2| 3.31|
|HR 4660|69Del UMa |12 15 25.61|+57 01 57.0| 3.31|
|HR 7234|40Tau Sgr |19 06 56.40|-27 40 14.2| 3.32|
|HR 4037|Ome Car   |10 13 44.21|-70 02 17.2| 3.32|
|HR 4140|          |10 32 01.39|-61 41 07.1| 3.32|
|HR 6380|Eta Sco   |17 12 09.19|-43 14 21.1| 3.33|
|HR 4359|70The Leo |11 14 14.40|+15 25 45.8| 3.34|
|HR 3045|7Xi  Pup  |07 49 17.71|-24 51 34.9| 3.34|
|HR 6698|64Nu  Oph |17 59 01.61|-09 46 25.0| 3.34|
|HR 6462|Gam Ara   |17 25 23.59|-56 22 39.0| 3.34|
|HR 8465|21Zet Cep |22 10 51.29|+58 12 04.0| 3.35|
|HR 1336|Alp Ret   |04 14 25.51|-62 28 26.0| 3.35|
|HR 2484|31Xi  Gem |06 45 17.40|+12 53 44.2| 3.36|
|HR 1788|28Eta Ori |05 24 28.61|-02 23 48.8| 3.36|
|HR 3323|1Omi UMa  |08 30 15.91|+60 43 05.2| 3.36|
|HR 7377|30Del Aql |19 25 29.90|+03 06 52.9| 3.36|
|HR 5708|Eps Lup   |15 22 40.90|-44 41 21.8| 3.37|
|HR 5107|79Zet Vir |13 34 41.59|-00 35 44.9| 3.37|
|HR 542 |45Eps Cas |01 54 23.69|+63 40 12.0| 3.38|
|HR 4910|43Del Vir |12 55 36.19|+03 23 51.0| 3.38|
|HR 3482|11Eps Hya |08 46 46.61|+06 25 08.0| 3.38|
|HR 921 |25Rho Per |03 05 10.61|+38 50 25.1| 3.39|
|HR 8634|42Zet Peg |22 41 27.70|+10 49 53.0| 3.40|
|HR 1412|78The2Tau |04 28 39.70|+15 52 14.9| 3.40|
|HR 4050|          |10 17 04.99|-61 19 55.9| 3.40|
|HR 5649|Zet Lup   |15 12 17.09|-52 05 57.1| 3.41|
|HR 5190|Nu  Cen   |13 49 30.31|-41 41 16.1| 3.41|
|HR 429 |Gam Phe   |01 28 21.89|-43 19 05.9| 3.41|
|HR 5948|Eta Lup   |16 00 07.30|-38 23 48.8| 3.41|
|HR 544 |2Alp Tri  |01 53 04.90|+29 34 44.0| 3.41|
|HR 6623|86Mu  Her |17 46 27.50|+27 43 14.2| 3.42|
|HR 7913|Bet Pav   |20 44 57.50|-66 12 11.2| 3.42|
|HR 7957|3Eta Cep  |20 45 17.40|+61 50 20.0| 3.43|
|HR 4031|36Zet Leo |10 16 41.40|+23 25 01.9| 3.44|
|HR 219 |24Eta Cas |00 49 06.00|+57 48 56.9| 3.44|
|HR 7236|16Lam Aql |19 06 14.90|-04 52 57.0| 3.44|
|HR 3659|          |09 10 58.01|-58 58 00.8| 3.44|
|HR 7106|10Bet Lyr |18 50 04.80|+33 21 46.1| 3.45|
|HR 4033|33Lam UMa |10 17 05.81|+42 54 51.8| 3.45|
|HR 334 |31Eta Cet |01 08 35.40|-10 10 55.9| 3.45|
|HR 3117|Chi Car   |07 56 46.70|-52 58 55.9| 3.47|
|HR 1239|35Lam Tau |04 00 40.80|+12 29 25.1| 3.47|
|HR 7635|12Gam Sge |19 58 45.41|+19 29 31.9| 3.47|
|HR 5681|49Del Boo |15 15 30.19|+33 18 52.9| 3.47|
|HR 2646|22Sig CMa |07 01 43.10|-27 56 04.9| 3.47|
|HR 804 |86Gam Cet |02 43 18.00|+03 14 08.9| 3.47|
|HR 6406|64Alp1Her |17 14 38.90|+14 23 25.1| 3.48|
|HR 8684|48Mu  Peg |22 50 00.19|+24 36 06.1| 3.48|
|HR 4377|54Nu  UMa |11 18 28.70|+33 05 39.1| 3.48|
|HR 8675|Eps Gru   |22 48 33.31|-51 19 00.8| 3.49|
|HR 5602|42Bet Boo |15 01 56.81|+40 23 26.2| 3.50|
|HR 509 |52Tau Cet |01 44 04.10|-15 56 15.0| 3.50|
|HR 6897|Alp Tel   |18 26 58.39|-45 58 05.9| 3.51|
|HR 7150|37Xi 2Sgr |18 57 43.80|-21 06 24.1| 3.51|
|HR 3249|17Bet Cnc |08 16 30.91|+09 11 08.2| 3.52|
|HR 3852|14Omi Leo |09 41 09.00|+09 53 31.9| 3.52|
|HR 3975|30Eta Leo |10 07 19.99|+16 45 46.1| 3.52|
|HR 8694|32Iot Cep |22 49 40.80|+66 12 02.2| 3.52|
|HR 1409|74Eps Tau |04 28 37.01|+19 10 49.1| 3.53|
|HR 2777|55Del Gem |07 20 07.39|+21 58 55.9| 3.53|
|HR 6220|44Eta Her |16 42 53.81|+38 55 19.9| 3.53|
|HR 5881|32Mu  Ser |15 49 37.20|-03 25 49.1| 3.53|
|HR 8450|26The Peg |22 10 12.00|+06 11 52.1| 3.53|
|HR 1879|39Lam Ori |05 35 08.30|+09 56 03.1| 3.54|
|HR 4450|Xi  Hya   |11 33 00.10|-31 51 28.1| 3.54|
|HR 6561|55Xi  Ser |17 37 35.21|-15 23 55.0| 3.54|
|HR 1136|23Del Eri |03 43 14.90|-09 45 47.9| 3.54|
|HR 3940|Phi Vel   |09 56 51.79|-54 34 04.1| 3.54|
|HR 5354|Iot Lup   |14 19 24.19|-46 03 28.1| 3.55|
|HR 1998|14Zet Lep |05 46 57.29|-14 49 18.8| 3.55|
|HR 674 |Phi Eri   |02 16 30.60|-51 30 43.9| 3.56|
|HR 1347|41Ups4Eri |04 17 53.69|-33 47 53.9| 3.56|
|HR 5705|Phi1Lup   |15 21 48.41|-36 15 41.0| 3.56|
|HR 4382|12Del Crt |11 19 20.50|-14 46 43.0| 3.56|
|HR 74  |8Iot Cet  |00 19 25.70|-08 49 26.0| 3.56|
|HR 7665|Del Pav   |20 08 43.61|-66 10 54.8| 3.56|
|HR 6252|Mu 2Sco   |16 52 20.11|-38 01 03.0| 3.57|
|HR 2985|77Kap Gem |07 44 26.81|+24 23 53.2| 3.57|
|HR 464 |51    And |01 37 59.59|+48 37 41.9| 3.57|
|HR 7754|6Alp2Cap  |20 18 03.31|-12 32 40.9| 3.57|
|HR 6927|44Chi Dra |18 21 03.41|+72 43 58.1| 3.57|
|HR 2763|54Lam Gem |07 18 05.59|+16 32 25.1| 3.58|
|HR 5429|25Rho Boo |14 31 49.80|+30 22 17.0| 3.58|
|HR 5794|39Ups Lib |15 37 01.51|-28 08 06.0| 3.58|
|HR 4700|Eps Cru   |12 21 21.60|-60 24 04.0| 3.59|
|HR 1030|1Omi Tau  |03 24 48.79|+09 01 44.0| 3.60|
|HR 3786|Psi Vel   |09 30 42.00|-40 28 00.1| 3.60|
|HR 2540|34The Gem |06 52 47.30|+33 57 40.0| 3.60|
|HR 1983|13Gam Lep |05 44 27.79|-22 26 53.9| 3.60|
|HR 3594|12Kap UMa |09 03 37.49|+47 09 24.1| 3.60|
|HR 1735|20Tau Ori |05 17 36.41|-06 50 39.8| 3.60|
|HR 402 |45The Cet |01 24 01.39|-08 10 59.9| 3.60|
|HR 3017|          |07 45 15.31|-37 58 07.0| 3.61|
|HR 3994|41Lam Hya |10 10 35.30|-12 21 15.1| 3.61|
|HR 4540|5Bet Vir  |11 50 41.71|+01 45 52.9| 3.61|
|HR 3447|          |08 40 17.59|-52 55 18.8| 3.62|
|HR 437 |99Eta Psc |01 31 28.99|+15 20 44.9| 3.62|
|HR 6271|Zet2Sco   |16 54 34.99|-42 21 41.0| 3.62|
|HR 8762|1Omi And  |23 01 55.30|+42 19 34.0| 3.62|
|HR 4923|Del Mus   |13 02 16.20|-71 32 56.0| 3.62|
|HR 6582|Eta Pav   |17 45 43.99|-64 43 26.0| 3.62|
|HR 6500|Del Ara   |17 31 05.90|-60 41 02.0| 3.62|
|HR 7882|6Bet Del  |20 37 33.00|+14 35 43.1| 3.63|
|HR 1178|27    Tau |03 49 09.70|+24 03 11.9| 3.63|
|HR 838 |41    Ari |02 49 58.99|+27 15 38.2| 3.63|
|HR 4520|Lam Mus   |11 45 36.41|-66 43 43.0| 3.64|
|HR 1346|54Gam Tau |04 19 47.59|+15 37 39.0| 3.65|
|HR 5291|11Alp Dra |14 04 23.30|+64 22 32.9| 3.65|
|HR 4825|29Gam Vir |12 41 39.60|-01 26 57.8| 3.65|
|HR 7986|Bet Ind   |20 54 48.60|-58 27 15.1| 3.65|
|HR 6743|The Ara   |18 06 37.90|-50 05 30.1| 3.66|
|HR 5812|40Tau Lib |15 38 39.41|-29 46 40.1| 3.66|
|HR 8812|88    Aqr |23 09 26.81|-21 10 21.0| 3.66|
|HR 153 |17Zet Cas |00 36 58.30|+53 53 48.8| 3.66|
|HR 5867|28Bet Ser |15 46 11.30|+15 25 18.8| 3.67|
|HR 3757|23    UMa |09 31 31.70|+63 03 42.8| 3.67|
|HR 5747|3Bet CrB  |15 27 49.70|+29 06 20.9| 3.68|
|HR 3468|Alp Pyx   |08 43 35.50|-33 11 11.0| 3.68|
|HR 8278|40Gam Cap |21 40 05.50|-16 39 43.9| 3.68|
|HR 4826|29Gam Vir |12 41 39.60|-01 26 57.8| 3.68|
|HR 1003|16Tau4Eri |03 19 31.01|-21 45 28.1| 3.69|
|HR 1552|3Pi 4Ori  |04 51 12.41|+05 36 18.0| 3.69|
|HR 3884|          |09 45 14.81|-62 30 28.1| 3.69|
|HR 8852|6Gam Psc  |23 17 09.91|+03 16 55.9| 3.69|
|HR 566 |Chi Eri   |01 55 57.50|-51 36 32.0| 3.70|
|HR 1142|17    Tau |03 44 52.51|+24 06 47.9| 3.70|
|HR 6703|92Xi  Her |17 57 45.91|+29 14 52.1| 3.70|
|HR 2085|16Eta Lep |05 56 24.29|-14 10 04.1| 3.71|
|HR 4518|63Chi UMa |11 46 03.00|+47 46 45.8| 3.71|
